path,stratum,confidence,reason,imports_surface
tools/computer_use/__init__.py,S5,HIGH,computer use (edge),
tools/computer_use/backend.py,S5,HIGH,computer use (edge),
tools/computer_use/browser_route.py,S5,HIGH,computer use (edge),
tools/computer_use/cua_backend.py,S5,HIGH,computer use (edge),
tools/computer_use/doctor.py,S5,HIGH,computer use (edge),
tools/computer_use/permissions.py,S5,HIGH,computer use (edge),
tools/computer_use/schema.py,S5,HIGH,computer use (edge),
tools/computer_use/tool.py,S5,HIGH,computer use (edge),
tools/computer_use/vision_routing.py,S5,HIGH,computer use (edge),
tools/computer_use_tool.py,S5,HIGH,edge capability (computer_use),
tools/credential_files.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/cronjob_tools.py,S5,HIGH,edge capability (cronjob),
tools/daemon_pool.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/debug_helpers.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/delegate_tool.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/delegation_live_log.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/delegation_output_schema.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/desktop_ui.py,S5,HIGH,edge capability (desktop_ui),
tools/env_passthrough.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/env_probe.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/environments/__init__.py,S3,HIGH,terminal execution backends (core),
tools/environments/base.py,S3,HIGH,terminal execution backends (core),
tools/environments/daytona.py,S3,HIGH,terminal execution backends (core),
tools/environments/docker.py,S3,HIGH,terminal execution backends (core),
tools/environments/file_sync.py,S3,HIGH,terminal execution backends (core),
tools/environments/local.py,S3,HIGH,terminal execution backends (core),
tools/environments/managed_modal.py,S3,HIGH,terminal execution backends (core),
tools/environments/modal.py,S3,HIGH,terminal execution backends (core),
tools/environments/modal_utils.py,S3,HIGH,terminal execution backends (core),
tools/environments/singularity.py,S3,HIGH,terminal execution backends (core),
tools/environments/ssh.py,S3,HIGH,terminal execution backends (core),
tools/environments/vercel_sandbox.py,S3,HIGH,terminal execution backends (core),
tools/fal_common.py,S5,HIGH,edge capability (fal_common),
tools/feishu_doc_tool.py,S5,HIGH,edge capability (feishu),
tools/feishu_drive_tool.py,S5,HIGH,edge capability (feishu),
tools/file_operations.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/file_state.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/file_tools.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/flux3_video_tool.py,S5,HIGH,edge capability (flux3),
tools/focus_pane_tool.py,S5,HIGH,edge capability (focus_pane),
tools/fuzzy_match.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/homeassistant_tool.py,S5,HIGH,edge capability (homeassistant),
